iteracion,tiempo_segundos
1,1.4226e-05
2,1.1341e-05
3,1.111e-05
4,1.1071e-05
5,1.1031e-05
6,1.1041e-05
7,1.1111e-05
8,1.1031e-05
9,1.102e-05
10,1.1041e-05
11,1.1021e-05
12,1.097e-05
13,1.564e-05
14,1.1071e-05
15,1.1061e-05
16,1.1e-05
17,1.116e-05
18,1.1091e-05
19,1.0971e-05
20,1.105e-05
21,1.102e-05
22,1.1041e-05
23,1.1061e-05
24,1.0991e-05
25,1.1031e-05
26,1.096e-05
27,1.099e-05
28,1.1081e-05
29,1.1031e-05
30,1.1021e-05
31,1.0991e-05
32,1.1081e-05

Promedio:,1.12924e-05
Desviacion:, 9.58882e-07
