iteracion,tiempo_segundos
1,0.000152365
2,0.000143668
3,9.1501e-05
4,6.8939e-05
5,6.9009e-05
6,7.2756e-05
7,6.8929e-05
8,6.8979e-05
9,6.8868e-05
10,6.9039e-05
11,6.8849e-05
12,6.8809e-05
13,6.8959e-05
14,6.8788e-05
15,6.5232e-05
16,5.902e-05
17,5.8749e-05
18,5.9041e-05
19,5.899e-05
20,5.9111e-05
21,6.2257e-05
22,5.903e-05
23,5.903e-05
24,5.8991e-05
25,5.9111e-05
26,5.907e-05
27,5.904e-05
28,5.9031e-05
29,5.894e-05
30,5.895e-05
31,5.896e-05
32,5.902e-05

Promedio:,6.94072e-05
Desviacion:, 2.14318e-05
