iteracion,tiempo_segundos
1,0.00415876
2,0.00218359
3,0.0020169
4,0.00202776
5,0.00203491
6,0.0030162
7,0.00202883
8,0.00205161
9,0.00247547
10,0.00226704
11,0.00207203
12,0.00226865
13,0.00210511
14,0.00202698
15,0.00202632
16,0.00203057
17,0.00203083
18,0.00202582
19,0.00203601
20,0.00203523
21,0.002038
22,0.0020346
23,0.00203927
24,0.00203579
25,0.00205382
26,0.00202125
27,0.00201021
28,0.00203371
29,0.00202621
30,0.00202212
31,0.00202503
32,0.00203774

Promedio:,0.00216551
Desviacion:, 0.000405484
