iteracion,tiempo_segundos
1,6.5513e-05
2,6.2878e-05
3,8.8777e-05
4,9.2984e-05
5,6.1195e-05
6,5.0114e-05
7,5.0014e-05
8,5.0144e-05
9,5.0004e-05
10,5.0154e-05
11,5.0074e-05
12,5.0044e-05
13,5.0064e-05
14,5.0054e-05
15,5.0054e-05
16,5.0074e-05
17,5.0064e-05
18,5.0014e-05
19,5.0064e-05
20,5.0084e-05
21,4.9983e-05
22,5.0044e-05
23,5.0044e-05
24,5.2569e-05
25,5.0023e-05
26,5.0043e-05
27,5.0034e-05
28,5.0034e-05
29,5.0014e-05
30,5.0004e-05
31,5.0033e-05
32,5.0054e-05

Promedio:,5.39139e-05
Desviacion:, 1.03072e-05
