iteracion,tiempo_segundos
1,13.2301
2,13.3556
3,13.5888
4,13.6965
5,13.6768
6,13.6789
7,13.6832
8,13.7892
9,13.7812
10,13.7821

Promedio:,13.6262
Desviacion:, 0.178867
