iteracion,tiempo_segundos
1,0.00285547
2,0.00265549
3,0.00266976
4,0.00287768
5,0.00293245
6,0.00267717
7,0.00266285
8,0.00266236
9,0.00268562
10,0.00323465
11,0.00267106
12,0.00267902
13,0.00267103
14,0.00268546
15,0.00267244
16,0.00266147
17,0.00265444
18,0.00268465
19,0.00268939
20,0.00266352
21,0.00268018
22,0.00267536
23,0.00267492
24,0.00267727
25,0.00268868
26,0.00264305
27,0.00268209
28,0.00266833
29,0.00264301
30,0.00265649
31,0.0026776
32,0.00264222

Promedio:,0.00270797
Desviacion:, 0.000115131
