iteracion,tiempo_segundos
1,9.1792e-05
2,7.6142e-05
3,7.5261e-05
4,7.481e-05
5,7.469e-05
6,7.463e-05
7,7.468e-05
8,7.8677e-05
9,7.468e-05
10,7.4509e-05
11,6.1806e-05
12,4.7499e-05
13,4.789e-05
14,4.7309e-05
15,4.7118e-05
16,4.7249e-05
17,4.6888e-05
18,4.7188e-05
19,4.7178e-05
20,4.7008e-05
21,4.7129e-05
22,4.7098e-05
23,4.7018e-05
24,4.6898e-05
25,4.7128e-05
26,4.6978e-05
27,4.9743e-05
28,4.7248e-05
29,4.7118e-05
30,4.6938e-05
31,4.7178e-05
32,4.7018e-05

Promedio:,5.70155e-05
Desviacion:, 1.39962e-05
